step	file	score	n_paths	top_weight	monodromy_phase	wall_crossing	H1_11
248	ainf_export_1778227649.90.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
249	ainf_export_1778227658.37.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
250	ainf_export_1778227666.83.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
251	ainf_export_1778227675.43.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
252	ainf_export_1778227684.07.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
253	ainf_export_1778227692.53.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
254	ainf_export_1778227701.03.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
255	ainf_export_1778227709.53.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
256	ainf_export_1778227718.17.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
257	ainf_export_1778227726.61.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
258	ainf_export_1778227735.05.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
259	ainf_export_1778228722.94.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
260	ainf_export_1778228731.39.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
261	ainf_export_1778228739.82.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
262	ainf_export_1778228748.23.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
263	ainf_export_1778228756.66.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
264	ainf_export_1778228765.10.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
265	ainf_export_1778229681.09.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
266	ainf_export_1778229689.50.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
267	ainf_export_1778229697.92.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
268	ainf_export_1778229706.22.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
269	ainf_export_1778229714.65.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
270	ainf_export_1778229723.06.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
271	ainf_export_1778229731.49.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
272	ainf_export_1778230731.53.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
273	ainf_export_1778230740.00.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
274	ainf_export_1778230748.32.json	0.000000	100	6.000000e+00	1.602212	false	1.00000000
