step	file	score	n_paths	top_weight	monodromy_phase	wall_crossing	H1_11
156	ainf_export_1779169552.04.json	0.000000	100	4.000051e+00	0.995500	false	1.00000000
157	ainf_export_1779169563.09.json	0.000000	100	4.000095e+00	0.994900	false	1.00000000
158	ainf_export_1779169873.79.json	0.000000	100	4.000181e+00	0.995100	false	1.00000000
159	ainf_export_1779169885.02.json	0.000000	100	4.000349e+00	0.995500	false	1.00000000
160	ainf_export_1779169896.23.json	0.000000	100	4.000137e+00	0.997700	false	1.00000000
161	ainf_export_1779169907.36.json	0.000000	100	4.000248e+00	0.000400	true	0.63568750
162	ainf_export_1779170921.10.json	0.000000	100	4.000460e+00	0.994800	true	1.57310000
163	ainf_export_1779170932.39.json	0.000000	100	4.000393e+00	0.994900	false	1.00000000
164	ainf_export_1779170943.52.json	0.000000	100	4.000338e+00	0.994800	false	1.00000000
165	ainf_export_1779170954.44.json	0.000000	100	4.000665e+00	0.994800	false	1.00000000
166	ainf_export_1779170965.22.json	0.000000	100	4.001229e+00	0.994800	false	1.00000000
167	ainf_export_1779170975.99.json	0.000000	100	4.000459e+00	0.994800	false	1.00000000
168	ainf_export_1779170986.97.json	0.000000	100	4.000384e+00	0.996000	false	1.00000000
169	ainf_export_1779171900.69.json	0.000000	100	4.000151e+00	0.996000	false	1.00000000
170	ainf_export_1779171912.91.json	0.000000	100	4.000057e+00	0.995900	false	1.00000000
171	ainf_export_1779171923.52.json	0.000000	100	4.000023e+00	0.004300	true	0.63568750
172	ainf_export_1779171933.96.json	0.000000	100	4.000020e+00	0.004000	false	1.00000000
173	ainf_export_1779172883.59.json	0.000000	100	4.000039e+00	0.001400	false	1.00000000
174	ainf_export_1779172895.88.json	0.000000	100	4.000074e+00	0.001500	false	1.00000000
175	ainf_export_1779172908.46.json	0.000000	100	4.000140e+00	0.001100	false	1.00000000
176	ainf_export_1779172919.92.json	0.000000	100	4.000125e+00	0.000200	false	1.00000000
177	ainf_export_1779173887.81.json	0.000000	100	4.000225e+00	0.996200	true	1.57310000
178	ainf_export_1779173899.04.json	0.000000	100	4.000417e+00	0.998100	false	1.00000000
179	ainf_export_1779173909.67.json	0.000000	100	4.000774e+00	0.998200	false	1.00000000
180	ainf_export_1779173921.75.json	0.000000	100	4.000335e+00	0.997900	false	1.00000000
181	ainf_export_1779174863.53.json	0.000000	100	4.000288e+00	0.998300	false	1.00000000
182	ainf_export_1779174874.09.json	0.000000	100	4.000111e+00	0.996600	false	1.00000000
183	ainf_export_1779174884.71.json	0.000000	100	4.000097e+00	0.995300	false	1.00000000
184	ainf_export_1779174895.16.json	0.000000	100	4.000187e+00	0.998100	false	1.00000000
185	ainf_export_1779175910.39.json	0.000000	100	4.000365e+00	0.998800	false	1.00000000
186	ainf_export_1779175926.68.json	0.000000	100	4.000334e+00	0.005100	true	0.63568750
187	ainf_export_1779175938.47.json	0.000000	100	4.000598e+00	0.004500	false	1.00000000
188	ainf_export_1779175948.94.json	0.000000	100	4.000501e+00	0.003100	false	1.00000000
189	ainf_export_1779175959.36.json	0.000000	100	4.000433e+00	0.997000	true	1.57310000
190	ainf_export_1779175969.83.json	0.000000	100	4.000771e+00	0.996600	false	1.00000000
191	ainf_export_1779175980.37.json	0.000000	100	4.001344e+00	0.996900	false	1.00000000
192	ainf_export_1779175991.04.json	0.000000	100	4.000565e+00	0.995800	false	1.00000000
193	ainf_export_1779176001.62.json	0.000000	100	4.000201e+00	0.995800	false	1.00000000
194	ainf_export_1779176012.17.json	0.000000	100	4.000086e+00	0.995600	false	1.00000000
195	ainf_export_1779176022.77.json	0.000000	100	4.000033e+00	0.995900	false	1.00000000
196	ainf_export_1779176033.33.json	0.000000	100	4.000065e+00	0.015400	true	0.63568750
197	ainf_export_1779176044.01.json	0.000000	100	4.000126e+00	0.007900	false	1.00000000
198	ainf_export_1779176054.91.json	0.000000	100	4.000248e+00	0.004900	false	1.00000000
199	ainf_export_1779176065.69.json	0.000000	100	4.000201e+00	0.005800	false	1.00000000
